year,title,speaker,org,M/F,nonmale,location,international,description,theme
2021,Crowdsourcing for climate,Kathryn Garcia,Environmental Investigation Agency,F,1,VIRTUAL,0,,Climate
2021,Save your work: How to archive online journalism,Nick Hagar,Northwestern University,M,0,VIRTUAL,0,,Archiving
2021,Small-town data blues,Lisa Waananen Jones,Washing State University,F,1,VIRTUAL,0,,Storytime
2021,"51 agencies, 26 reporters, two news organizations and thousands of emails: How we built a massive system to track COVID in prisons",Katie Park,The Marshall Project,F,1,VIRTUAL,0,,Storytime
2021,Using open source investigation to track police brutality and alt-right activity,Jordan Gass Poore,Independent Journalist,F,1,VIRTUAL,0,,OSINT
2021,Causal inference for dummies,Kathy Qian,Code for Democracy,F,1,VIRTUAL,0,,Statistics
2021,Circumventing secrecy,Emilia Ruzicka,Brown Universtiy,F,1,VIRTUAL,0,,OSINT
2021,7 tips to pushback against the denial of your public records request,Gunita Singh,Reporters Committee for Freedom of the Press,F,1,VIRTUAL,0,,FOIA
2021,The art of negotiation: How to get what you want,Todd Wallack,Boston Globe,M,0,VIRTUAL,0,,Records
2021,Git scraping,Simon Willison,Datasette,M,0,VIRTUAL,1,,Scraping
2021,Body commodification: What diversity stats get wrong and how we can do better,Ting Zhang,Brown Institute,F,1,VIRTUAL,1,,Storytime
2022,Teach better: Here's how,Jessica Huseman,American University,F,1,"Atlanta, GA",0,"In 5 minutes, I’ll teach you to teach better. Craft an objective, align your lessons to that objective, and measure the objective to ensure your students have attained the skill you want to teach.",
2022,Beyond fact-checking Whack-a-Mole: Using narrative and contextual analysis to decode mis/disinformation,Giovana Fleck,Global Voices,F,1,"Atlanta, GA",1,"Identifying misinformation and disinformation online can feel like a hopeless game of Whack-a-Mole: false and harmful information is proliferating online at a rate that makes it impossible for even the most efficient fact-checking system to keep up. While fact-checking and other quantitative approaches to stopping the spread of mis- and disinformation are important, they often fail to identify broader narratives and local context and subtext that permit a fuller understanding of the broader dynamics at work in media ecosystems.",Fact-checking 
2022,How do different newsrooms’ style-guides compare: A data dive,Areena Arora,Columbia University,F,1,"Atlanta, GA",1,"I created a searchable database of different newsrooms’ (BBC, BuzzFeed, Reuters, The Guardian and NPR) styleguides to see how they compare. Some words, such as, ‘Black’ aren’t capitalized by some newsrooms, while others do — giving a peek into their editorial leanings.",Industry practices
2022,How many mosquitoes does it take to kill you?,Dexter McMillan,CBC,M,0,"Atlanta, GA",1,"Since hiking in Ontario two years ago, getting absolutely swarmed by mosquitoes, I’ve been obsessed with a question: how many mosquitoes would it take to gang up and threaten your life? Using Python Pandas and Datawrapper to visualize, I will create a dataset that attempts to answer this question. The audience, many of whom will known how to use Pandas to analyze already-built datasets, will learn how to use these tools to tell a story by building a dataset themselves.",Satire
2022,You’ll Never Guess How These Platform Algorithms Work,Jonathan Stray,Center for Human-Compatible AI,M,0,"Atlanta, GA",1,Recommender systems are the algorithms that power social media and news aggregators. I’ve spent the last two years studying them and helping others build them in the public interest. Here’s what I’ve learned about what’s inside the black boxes.,Algorithms
2022,How to end tabmageddon,Cezary Podkul,Hong Kong University,M,0,"Atlanta, GA",1,Face it: You have waaay too many web browser tabs open and it’s driving you crazy. It’s also not good for you. Here’s a few good strategies for how to regain control over your online research and end tabmageddon once and for all.,Data Habits
2022,When An Internet Source Won’t Tell You Who They Are,Ari Schneider,Mountain Gazette,M,0,"Atlanta, GA",0,"Too often do journalists quote anonymous internet users without knowing who they are, but that falls short of rigorous journalism ethics. How do you know what their motives are, or if they’re not the same person operating under multiple accounts? My presentation will help investigative reporters build the trust of potential sources from the dark web, Reddit, Discord, etc, to get information on the record and on background from individuals who are accustomed to being cloaked by message board anonymity.",Invesitgations
2022,Wayback Machine – Tips and Techniques,Mark Graham,Wayback Machine,M,0,"Atlanta, GA",0,10 Tips and Techniques about how to use the Wayback Machine in your next investigation. Will review some new and lesser known features and capabilities. News you can use!,Archiving
2022,"File management, organization and documentation for dummies (And why doing it badly can be disastrous)",Yoohyun Jung,San Fransisco Chronicle,F,1,"Atlanta, GA",0,"How many times have you saved files in random directories and you cannot remember the file path to save your life? Bad management and organization of files can prove disastrous, especially when you’re working on big projects. Helpful tips I gained from my own disasters.",Data Habits
2022,An awesome tool for finding source,Brad Hamilton,The Hatch Institute,M,0,"Atlanta, GA",0,"The best option out there for identifying and making contact with potential sources — whether you’re looking for someone specific or trying to cultivate an FBI agent, for example, or an employee of the Trump Organization — is the Contacts Reference database in LexisNexis. This amazing tool, compiled by web scrapers that troll for professional profiles among company and government agency websites, as well as job-search outfits like LinkedIn, unearths sources from among hundreds of millions of profiles, showing you names, titles, employers, areas of expertise and how to reach them by work email and office phone numbers. An astonishingly small number of journalists have heard of this tool, let alone know how to use it properly. This session will show you how.",Invesitgations
2023,Think like an accessibility engineer: Make real improvements to your content in minutes,Holden Foreman,The Washington Post,M,0,"Nashville, TN",0,"There are so many accessibility checklists and supposed “shortcuts” floating around. We know accessibility is important, but it can be hard to know where to start without an engineering background. The good news is that there are easy ways for journalists to identify real issues (not just alt text!) AND fixes for your articles in minutes; I’ll demonstrate.",Data Habits
2023,Bad Bunny and passion data side projects,Lucio Villa,The Washington Post,M,0,"Nashville, TN",0,"I’ll talk about how I find inspiration outside of work and use my data skills to build fun side projects. Specifically, I’ll share how my idea to build a Bad Bunny themed Wordle resulted in an opportunity to practice my Python skills and a game that was enjoyed by thousands.","Satire, Storytime"
2023,Three new file formats for your toolbox,Alex Garcia,Freelance software engineer,M,0,"Nashville, TN",0,"CSVs, JSON, and GeoJSONs are so last decade! Many new file formats like Parquet, SQLite, DuckDB, and FlatGeobufs have the potential to simplify your work, cut down your compute and storage costs, and make your life easier! This talk will be a brief overview of these file formats, how they can help in your data analysis work or in your newsroom, and provide recommendations of helpful tools and tutorials for Python, R, and JavaScript users!",Data Habits
2023,Take this job and shove it? Maybe not.,Laura Evans,WHIO-TV,F,1,"Nashville, TN",0,Five tips for staying in… or leaving a journalism job – so either way you don’t ruin your career.,Industry practices
2023,Ergonomics for data journalists,Stephanie Lamm,The Atlanta Journal-Constitution,F,1,"Nashville, TN",0,"After hand-entering more than 1,000 rows of data, I developed tendonitis that required three weeks of physical therapy. I’m going to share what I learned about creating an ergonomic workspace and stretching routine so that this doesn’t happen to you.",Data Habits
2023,How to battle a webmaster and win,Ryan Little,The Baltimore Banner,M,0,"Nashville, TN",0,"This is a hopefully funny tale of battling webmasters and winning, featuring anecdotes from my time writing and running web scrapers for ProPublica, Mother Jones and The Baltimore Banner. This will be informative about the many tools you can use to keep scraping a website when a webmaster doesn’t want you to, like using useragents, proxies and CAPTCHA solving services. It will also highlight the value of persistence, ingenuity and Googling really, really, really well in the face of coding adversity.",Satire
2023,Data journalism nightmares and tips: A meme story,Juan Pablo Marín Díaz,Datasketch,M,0,"Nashville, TN",1,Recurring pains in data journalism shown with GIFs/memes and how to over come them with copy-paste data-science browser-based tools.,Satire
2023,"GitHub, the ultimate anti-censorship tool",Léopold Mebazaa,Artefact,M,0,"Nashville, TN",1,"Newsrooms are familiar with GitHub as a convenient way to store and modify source code. What is less known is that GitHub is hard to fully censor, even in China or Iran, because of its strategic position in the modern software ecosystem. This, in turn, means that GitHub can be leveraged to disseminate journalism in authoritarian countries.",Tools
2023,"A data-driven investigation: Is Nashville country music all trucks, beer and boots?",Sean McMinn,POLITICO,M,0,"Nashville, TN",0,"In five minutes, let’s go through (at least) five years of country hits to analyze the lyrical themes, diversity of the genre and most commonly used phrases. Welcome to Nashville!",Storytime
2023,How ChatGPT makes my job easier (but won’t replace me anytime soon),Arijit Sen,Dallas Morning News,M,0,"Nashville, TN",0,"Since the introduction of OpenAI’s ChatGPT a few months ago, I have been using the tool incessantly. In this presentation, I will outline how I use the tool to write faster code, translate code from different languages, explain difficult concepts and brainstorm stories and pitches. I’ll also discuss the tool’s limitations and why it wont replace data journalists anytime soon.",AI
2024,Your own worst enemy: How to organize your work so your future self won’t hate you,Justin Myers,Chicago Sun-Times,M,0,"Baltimore, MD",0,"You might have been here before: trying to pick apart some old analysis or script, wondering in anger what kind of jerk designed it this way — only to realize that jerk was you. I’ve been in that situation, too, and over the years I’ve found some ways to be kinder to the ever-present coworker known as My Future Self. I’d like to share some of them","Data Habits, Data Cleaning"
2024,"Visuals are data, too!",Brenna Smith,The Baltimore Banner,F,1,"Baltimore, MD",0,"Too often, visuals are afterthoughts in stories. However, the emergence of visual forensics as a storytelling technique has changed that narrative, putting visuals front and center as key investigative findings. In this Lighting Talks session, Baltimore Banner reporter and former New York Times Visual Investigations fellow Brenna Smith will walk you through how to take an analytical approach to visuals, proving that newsrooms across the country can produce “visual investigations” without a New York Times budget.",Data Viz
2024,Datasette Enrichments: Run bulk operations to enrich your data,Simon Willison,Datasette,M,0,"Baltimore, MD",1,"Datasette Enrichments is a new tool that lets you take a table full of data and “enrich” it in various ways — run geocoders to populate latitudes and longitudes, clean up data with regular expressions and, most excitingly, pipe that data through GPT-4 (or GPT-4 Vision) with a prompt to extract or transform data. I’ll demonstrate the feature in action and show how you can use it to process thousands of rows of data in all sorts of interesting ways.","Data Cleaning, AI"
2024,Wait…who funds you? Finding out (on deadline),Kyle Spender,Reporting Right,F,1,"Baltimore, MD",0,"Bad faith organizations with anti-democratic aims abound. But sometimes — and that’s by design —they can be hard to identify, which means you may be validating and/or legitimizing a group with radical goals (accidentally). How do you tell your readers who is behind the groups you quote, mention or allude to? This Lightning Talks session will give reporters and editors an easy 5-step process for figuring out what a group/nonprofit/think tank etc. really stands for — and who funds it. On deadline!",Investigations
2024,When charts lie,Todd Wallack,WBUR Boston,M,0,"Baltimore, MD",0,Graphics are an essential tool for data journalists. But it’s also easy to mislead readers — either by mistake or on purpose. I’ll highlight some common ways charts can trick the eye.,Design Thinking
2024,Expand your sourcing horizon,Jui Sarwate,CBS,F,1,"Baltimore, MD",1,"Learn about the different ways you can reach a variety of sources using X (Twitter) lists, connecting to sources through non-profits and by just cold emailing/calling by the bucket-loads.",Investigations
2024,How to take PDFs from strangers,David Huerta,Freedom of the Press,M,0,"Baltimore, MD",,"I’ll be demonstrating the use of Dangerzone, a new tool actively developed by Freedom of the Press Foundation. Dangerzone allows journalists to create a malware-free copy of PDFs that may otherwise contain malicious code.",Tools
2024,Follow the commodity then follow money: uncovering stories through commodity and supply chain data,Christopher Lambin,Global Witness,M,0,"Baltimore, MD",1,"There is an array of data that can help investigators map the flow of physical commodities around the globe, including freight tracking, customs records, and satellite imagery. This presentation will explore how we can combine these sources to examine supply chains while investigating environmental harms, human rights abuses and sanctions evasion.",Investigations
2024,How to solve a murder while watching the World Cup,Catherine Rents,independent,F,1,"Baltimore, MD",0,"I started building this database during the Women’s World Cup (soccer!). It looked at what bad guys did as the evidence implicating them in violent crimes lay untested for decades. The results were frustrating: wrongful incarcerations and preventable violent crimes. Many jurisdictions have collections of cold case evidence like this that have remained “off the books” and untested for decades. Before long, I came across something shocking that led to a break in a 1983 unsolved murder of a college student in Baltimore County.",Sports
2024,Do you know who runs your elections?,Michael Beckel,Issue One,M,0,"Baltimore, MD",0,"There are more than 10,000 chief local election officials across the country. Monitoring them all would be a Herculean effort. Monitoring those is a key state or region is feasible — and necessary in understanding election administration challenges in 2024. Issue One’s blockbuster analysis of Western states found that 40% of counties in the West have new chief local election officials since 2020 — and that the officials who left these positions took with them more than 1,800 years of combined experience. There is no better time than now to start getting to know your local election officials in your area!",Elections
2025,Lessons from heraldry: What one of oldest forms of data storytelling can teach us,Emilia Ruzicka,University of Virginia,F,1,"Minneapolis, MN",0,"This quick talk will use the ancient art of making coats of arms as a model for some data visualization and data storytelling best practices. Not only will you learn some tips and tricks for your reporting, but you’ll also design your very own coat of arms — in just five minutes!",History
2025,How to truly diversify your sources,Karen K. Ho,ARTnews,F,1,"Minneapolis, MN",1,"Studies of news coverage from around the world have consistently found more than 70% of people seen, quoted and heard in the news are men, while women make up less than 30%. This talk will provide clear, practical and proven tips on how to find, interview and retain many more women, visible minorities, members of the LGBTQ+ community, people with disabilities, and/or non-Americans as sources in any beat. (Tipsheet)",LGBTQ
2025,Hot dish versus casserole: An evidence-based approach,Taylor Thomas,POLITICO,F,1,"Minneapolis, MN",0,"Growing up in the North Star State as the daughter of non-Minnesotans (still Midwesterners who think pepper is spicy), hot dish was an entirely new concept to me, as was the joke that you're not a Minnesotan til you can tell the difference between hot dish and casserole. I have scanned Minnesota-compiled church and community cookbooks from 1940-80 for relevant recipes, and I'll run an analysis to determine whether there's actually a difference between the two types of recipe. I'll also reach out to Gov. Walz and other notable Minnesotans to ask for their take.",Storytime
2025,Beyond Punxsutawney: Exploring and using NOAA weather data in your backyard,Emily Featherston,InvestigativeTV,F,1,"Minneapolis, MN",0,"From determining the prognostication proficiency of a particularly-famous groundhog to looking at how climate change has affected weather patterns in specific communities, NOAA's National Centers for Environmental Information provides a hyper-local history of observed weather data. Hear tips on searching for useful (and complete) data, and see how our team used it to calculate the accuracy of different animals' predictions of an early spring or long winter.","Climate, Records"
2025,"A Song of Ice and FOIA: How to fight records denials, as explained by Game of Thrones memes",Lucia Walinchus,NBC Universal,F,1,"Minneapolis, MN",0,"Using examples from real-life cases, tips and tricks to get around lackluster records responses. Illustrated with memes from the hit series.","FOIA, Records"
2025,Uncovering the Past: Lessons learned when investigating files about Brazil’s elite and historical slavery,Bianca Muniz,Agência Pública de Jornalismo Investigativo,F,1,"Minneapolis, MN",1,"How do you investigate a fact when the evidence is centuries old—or hidden behind bureaucracy, private contracts, and barely legible manuscripts? Projeto Escravizadores is an investigation into how Brazil’s elite is linked to historical slavery, using fragmented census rolls, probate inventories, and 19th-century slave registries. In five minutes, I’ll share strategies for structuring messy historical and genealogical datasets, navigating archival barriers, and making sense of old records.","History, Investigations"
2025,"How to save $3,000 in public record fees ",Sharon Lurye,Associated Press,F,1,"Minneapolis, MN",0,"In this lightning talk, I'll discuss tips and tricks for negotiating lower fees for public records requests. I'll describe times when I've successfully negotiated fees down from as much as $3,000 to only $30 -- and even zero.",Records
2025,The geographies you hate to have to know,Mike Stucka,independent,M,0,"Minneapolis, MN",0,"Inside Virginia's Fairfax County is a county-like place called Fairfax that's not part of Fairfax the county, while an island of Fairfax County survives inside Fairfax the county-like place. What stupid geographies do you need to know to have a working knowledge as a journalist, all while furthering your loathing of Virginia.",Records
2025,Second child syndrome: A meta analysis,Daniel Wolfe,The Washington Post,M,0,"Minneapolis, MN",0,"I can tell you when my firstborn daughter was fed milk or formula down to the hour, minute, second and that's because I built a tracker and custom display to tell us when to feed her next. Our second kid? We're shooting off text messages to each other to remember the faintest of details. This is a look at the data we collected on our first kid and what it says about how our parenting's changed now that we have two",Storytime
2025,Here are five things that playing basketball taught me about working on data projects,Chris Keller,Associated Press,M,0,"Minneapolis, MN",0,Think knocking down jumpers and analyzing data in a spreadsheet aren't similar? Think again. I'll share five things that I learned from playing basketball that have become indispensable to my work as a data reporter.,Storytime
